post_id,theme_detected,category_recommendation,post_text_snippet
90,еда,"Продукты, доставка еды","этот день в истории.

16 января родился павел басманов.

па́вел ива́нович басма́нов (3 (16) января 1"
91,еда,"Продукты, доставка еды","в рамках всероссийской акции всемирного дня борьбы со спидом,  
педагоги гбпоу рт ""тгт"" сняли социал"
92,еда,"Продукты, доставка еды","в рамках всероссийской акции всемирного дня борьбы со спидом,  салдамский сельский клуб с 02 по 14  "
93,еда,"Продукты, доставка еды","в рамках всероссийской акции всемирного дня борьбы со спидом,  салдамский сельский клуб с 02 по 14  "
94,еда,"Продукты, доставка еды","у нас в команде все друг друга очень органично дополняют — мероприятия никогда не заканчиваются, мы "
103,туризм,"Туристическое снаряжение, туристические услуги",уже завтра мы ждём всех неравнодушных жителей нашего города для помощи в благоустройстве пространств
121,спорт,"Спортивная одежда, спортивные товары","smpro216 - промокод в оффлайн магазинах спортмастер pro. скидка 20% на одежду, обувь и 10% инвентарь"
135,еда,"Продукты, доставка еды",а мы вас видели на маршруте недалеко от мураново!))
166,еда,"Продукты, доставка еды",это мост недалеко от п.марс?)
172,спорт,"Спортивная одежда, спортивные товары",а также спортивные походы!!!
